band_color,band_material,band_width,case_diameter,case_material,case_thickness,discount,img,item_weight,manufacturer,mrp,num_ratings,pay_on_delivery,rating,returnable,sp,title,warranty
,,,,,,-72%,https://m.media-amazon.com/images/I/51j5h2m-WYL._SY300_SX300_.jpg,,, ,"1,088 ratings",True, 3.9 ,True,249,TIMEWEAR Analog Minute Track Dial Stainless Steel Chain Watch for Men,
,,,,,,-20%,https://m.media-amazon.com/images/I/315purGv+oL._SY300_SX300_.jpg,,,₹635,"2,322 ratings",True, 4.3 ,True,635,Fastrack Analog Men's Watch,
,,,,,,-10%,https://m.media-amazon.com/images/I/41uehqb2+5L._SY300_SX300_.jpg,,, ,"1,268 ratings",True, 4.2 ,True,"3,415",Casio Enticer Analog White Dial Men MTP-V300L-7AUDF ( A1177 ),
,,,,,,,https://m.media-amazon.com/images/I/41q0qbiYW2S._SY300_SX300_.jpg,,, ,"2,603 ratings",True, 4.2 ,True,"1,895",Fastrack Essentials Analog Dial Men's Watch,
,,,,,,-10%,https://m.media-amazon.com/images/I/41l3o8U2CfL._SY300_SX300_.jpg,,, ,62 ratings,True, 4.3 ,True,"3,595",Titan Black Dial Analog Watch for Men -1806NM01,
,,,,,,-4%,https://m.media-amazon.com/images/I/41Xtmy4z3vL._SY300_SX300_.jpg,,, ,"10,792 ratings",True, 4.0 ,True,625,Sonata White Dial Analog watch For Men-NR7930PP01,
,,,,,,-25%,https://m.media-amazon.com/images/I/41LzG+ayV2L._SY300_SX300_.jpg,,, ,37 ratings,True, 3.9 ,True,"1,116",Fastrack Silver Dial Analog Watch for Men -NR3291SL02,
,,,,,,-39%,https://m.media-amazon.com/images/I/31xw-I3Q6VL._SY300_SX300_.jpg,,, ,119 ratings,True, 4.0 ,True,"3,655",Timex Analog Black Dial Men's Watch-TWHG03SMU17,
,,,,,,-10%,https://m.media-amazon.com/images/I/41gnjcbCXXL._SY300_SX300_.jpg,,, ,266 ratings,True, 4.2 ,True,"2,695",Titan Neo Analog Green Dial Men's Watch-1802NL02/NR1802NL02,
,,,,,,-25%,https://m.media-amazon.com/images/I/41XMXHEsbOL._SY300_SX300_.jpg,,, ,145 ratings,True, 4.2 ,True,"1,796",Fastrack Casual Analog Black Dial Men's Watch-3255NM01/NR3255NM01,
,,,,,,-40%,https://m.media-amazon.com/images/I/31sZX2eJ0nL._SY300_SX300_.jpg,,,"₹1,230",463 ratings,True, 4.1 ,True,"1,230",Fastrack Casual Analog Dial Watch for Men,
,,,,,,,https://m.media-amazon.com/images/I/41Gfzhc+h3L._SY300_SX300_.jpg,,,"₹9,195",12 ratings,True, 4.4 ,True,"9,195",G Shock Casio Analog-Digital Black Dial Men GA-2100-5ADR (G1157),
,,,,,,-40%,https://m.media-amazon.com/images/I/41jE96YZUdL._SY300_SX300_.jpg,,, ,54 ratings,True, 4.2 ,True,"2,637","TIMEX Multifunction Men Analog Dial Coloured Quartz Watch, Round Dial with 30 mm Case Width",
,,,,,,-29%,https://m.media-amazon.com/images/I/51t-HA-M10L._SY300_SX300_.jpg,,,"₹2,827",153 ratings,True, 3.9 ,True,"2,827",NIBOSI Men's Watch Analog Silicone Quartz Wrist Watch for Men Business Waterproof Sport Stainless Steel Dress Watch with Calendar,
,,,,,,-82%,https://m.media-amazon.com/images/I/41bKuSaGXIS._SY300_SX300_.jpg,,,₹479,322 ratings,True, 3.7 ,True,479,CRESTELLO BK007-CPBLK Black Metal Chain Analog Wrist Watch for Men,
,,,,,,,https://m.media-amazon.com/images/I/41WFbGFu6pL._SY300_SX300_.jpg,,,₹850,29 ratings,True, 4.1 ,True,850,Fastrack Analog Unisex-Adult Watch,
,,,,,,-26%,https://m.media-amazon.com/images/I/31z5VuQl55L._SY300_SX300_.jpg,,, ,"4,501 ratings",True, 4.2 ,True,"1,396",Fastrack Casual Analog White Dial Men's Watch NN3121SM01 / NL3121SM01/NP3121SM01,
,,,,,,-10%,https://m.media-amazon.com/images/I/41S4ZOilMfL._SY300_SX300_.jpg,,, ,123 ratings,, 4.5 ,"<div data-buying-option-index=""0"" data-csa-c-element-type=""navigational"" data-csa-c-posx=""1"" data-csa-c-type=""uxElement"" data-icon-content=""icon-farm-secondary-view-holder"" data-name=""RETURNS_POLICY"" data-type=""pop-over"" id=""RETURNS_POLICY"" class=""a-column a-span12 a-text-center icon-container scrollable-container celwidget"">   <span class=""a-declarative"" data-action=""a-popover"" data-csa-c-type=""widget"" data-csa-c-func-deps=""aui-da-a-popover"" data-a-popover='{""dataStrategy"":""preload"",""name"":""return-policy-secondary-view"",""activate"":""onclick"",""width"":""533"",""position"":""triggerBottom""}'>                     <div class=""a-section a-spacing-none""> <div alt=""10 days Returnable"" style=""height:35px;width:35px;"" class=""a-image-wrapper a-manually-loaded icon-box"" data-a-image-source=""https://m.media-amazon.com/images/G/31/A2I-Convert/mobile/IconFarm/icon-returns._CB484059092_.png""></div> </div> <div class=""a-section a-spacing-none icon-content""> <span class=""a-size-small a-color-link a-text-normal""> 10 days Returnable </span> </div>      </span>      </div>","6,295",Titan Blue Dial Analog Watch for Men -1805QM01,
,,,,,,-48%,https://m.media-amazon.com/images/I/31eatRaMRZL._SY300_SX300_.jpg,,, ,6 ratings,True, 3.8 ,True,"1,822",FCUK Analog White Dial Men's Watch-FC179W.2,
,,,,,,-10%,https://m.media-amazon.com/images/I/41lJ3v-sg2L._SY300_SX300_.jpg,,, ,133 ratings,True, 4.2 ,True,"9,895",Titan Analog Watch for Men -NR1595WL09,
,,,,,,-80%,https://m.media-amazon.com/images/I/51tSY+bQgFL._SY300_SX300_.jpg,,, ,"1,375 ratings",True, 3.8 ,True,399,HEMT Analog Multi Color Dial Men's Watch-HM-GR092-,
,,,,,,-67%,https://m.media-amazon.com/images/I/41DkQswev6L._SY300_SX300_.jpg,,, ,150 ratings,True, 3.8 ,True,791,"SKMEI Men's Digital Sports Watch, LED Square Large Face Analog Quartz Wrist Watch with Multi-Time Zone Waterproof Stopwatch - 1834/1835",
